Product_ID,Product_Name,Category,MRP,CP
101,Laptop,Electronics,80000,65000
102,Mobile,Electronics,30000,24000
103,Headphones,Electronics,3000,1800
104,Keyboard,Electronics,2000,1200
105,Mouse,Electronics,1000,600
106,Monitor,Electronics,15000,11000
107,Charger,Electronics,1500,900
108,Smartwatch,Electronics,5000,3500
109,T-Shirt,Clothing,1200,700
110,Jeans,Clothing,2500,1600
111,Shirt,Clothing,1800,1100
112,Jacket,Clothing,3500,2300
113,TrackPant,Clothing,1600,950
114,Shoes,Clothing,4000,2700
115,Cap,Clothing,800,450
116,Rice,Grocery,1200,900
117,Wheat,Grocery,800,600
118,Sugar,Grocery,500,380
119,Oil,Grocery,1800,1400
120,Tea,Grocery,600,450
121,Coffee,Grocery,900,650
122,Biscuits,Grocery,300,220
123,Soap,Grocery,500,350
124,Notebook,Stationery,100,60
125,Pen,Stationery,50,25
126,Pencil,Stationery,30,15
127,Eraser,Stationery,20,10
128,Marker,Stationery,100,55
129,File,Stationery,80,40
130,Stapler,Stationery,250,150
