pname,profit
Wireless Mouse,349
Bluetooth Speaker,899
USB Keyboard,499
Power Bank,749
Earphones,599
Smart Watch,1299
Webcam,1099
USB Cable,249
LED Monitor,3999
Laptop Stand,699
Office Chair,2799
Study Table,2499
Bookshelf,2099
Dining Chair,1299
Computer Desk,3199
Bedside Table,1199
Sofa Cushion,549
Wooden Stool,799
Wall Shelf,999
Folding Chair,899
Cotton T-Shirt,379
Denim Jeans,899
Casual Shirt,599
Sports Shoes,1199
Formal Shoes,1399
Hoodie,849
Track Pants,549
Cotton Saree,1049
Leather Belt,449
Backpack,699
Rice 5kg,79
Wheat Flour 5kg,64
Sugar 2kg,24
Cooking Oil 1L,29
Toor Dal 1kg,34
Tea 500g,59
Coffee 200g,59
Biscuits Pack,30
Corn Flakes,74
Salt 1kg,7
Refrigerator,6999
Mixer Grinder,1699
Electric Kettle,749
Air Fryer,2399
Table Lamp,649
Plastic Cabinet,1299
Curtain Set,999
Winter Jacket,1249
Running Shorts,419
Dry Fruits 500g,139
