pid,pname,profit
101,Wireless Mouse,349.0
102,Bluetooth Speaker,899.0
103,USB Keyboard,499.0
104,Power Bank,749.0
105,Earphones,599.0
106,Smart Watch,1299.0
107,Webcam,1099.0
108,USB Cable,249.0
109,LED Monitor,3999.0
110,Laptop Stand,699.0
111,Office Chair,2799.0
112,Study Table,2499.0
113,Bookshelf,2099.0
114,Dining Chair,1299.0
115,Computer Desk,3199.0
116,Bedside Table,1199.0
117,Sofa Cushion,549.0
118,Wooden Stool,799.0
119,Wall Shelf,999.0
120,Folding Chair,899.0
121,Cotton T-Shirt,379.0
122,Denim Jeans,899.0
123,Casual Shirt,599.0
124,Sports Shoes,1199.0
125,Formal Shoes,1399.0
126,Hoodie,849.0
127,Track Pants,549.0
128,Cotton Saree,1049.0
129,Leather Belt,449.0
130,Backpack,699.0
131,Rice 5kg,79.0
132,Wheat Flour 5kg,64.0
133,Sugar 2kg,24.0
134,Cooking Oil 1L,29.0
135,Toor Dal 1kg,34.0
136,Tea 500g,59.0
137,Coffee 200g,59.0
138,Biscuits Pack,30.0
139,Corn Flakes,74.0
140,Salt 1kg,7.0
141,Refrigerator,6999.0
142,Mixer Grinder,1699.0
143,Electric Kettle,749.0
144,Air Fryer,2399.0
145,Table Lamp,649.0
146,Plastic Cabinet,1299.0
147,Curtain Set,999.0
148,Winter Jacket,1249.0
149,Running Shorts,419.0
150,Dry Fruits 500g,139.0
